FileTimestamp;Rows
2013-04-03;2027

SettlementStatus;PaymentType;PaymentMethod;TransactionID;UniqueID;ShortID;ChannelName;CustomerCountry;Valuedate;RequestTimestamp;Brand;Separator;Credit Trn Amount;Debit Trn Amount;Trn Ccy;Separator;Gross Funding Amount;Separator;Net Funding Amount;Funding Ccy;Separator;Total Fees;Fee Ccy;Settlement Account;Separator;Acq Fx;Separator;Settlement Fx;Separator;Settlement Amt;Settlement ccy
ACK;RI;RM;24428_moneybookerspsp_cc;8a8394903c6ce40e013c9df0e49e7a26;6708.5678.2098;USD;US ;2013-02-03;2013-02-03 02:44:35;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24429_moneybookerspsp_cc;8a83948a3c6ce40d013c9df23cab07a5;4592.6253.3906;USD;US ;2013-02-03;2013-02-03 02:46:03;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;DB;CC;24431_moneybookerspsp_cc;8a83948b3c6ce22e013c9e0c1f5f0c1a;3422.2467.5090;USD;US ;2013-02-03;2013-02-03 03:14:19;AMEX;2;0;16000;USD;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24431_moneybookerspsp_cc;8a83948b3c6ce22e013c9e0c238a0c26;8232.6101.2242;USD;US ;2013-02-03;2013-02-03 03:14:21;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;98536_moneybookerspsp_cc;8a8394883c6ce40f013c9fda03432c3c;9188.0725.7362;JPY;JP ;2013-02-03;2013-02-03 11:38:50;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;98536_moneybookerspsp_cc;8a8394883c6ce40f013c9fda02b72c37;0941.7353.6530;JPY;JP ;2013-02-03;2013-02-03 11:38:50;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RG;CC;98536_moneybookerspsp_cc;8a8394883c6ce40f013c9fda01fc2c2c;6439.2935.0418;JPY;JP ;2013-02-03;2013-02-03 11:38:50;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;DB;CC;24455_moneybookerspsp_cc;8a8394843c6ce407013c9fda2e437877;2791.2556.5714;JPY;JP ;2013-02-03;2013-02-03 11:39:01;AMEX;2;0;365000;JPY;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24455_moneybookerspsp_cc;8a8394843c6ce407013c9fda32187883;7601.6190.2866;JPY;JP ;2013-02-03;2013-02-03 11:39:02;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RG;CC;98819_moneybookerspsp_cc;8a8394883c6ce40f013ca2145d8952a5;1651.3067.4450;USD;US ;2013-02-03;2013-02-03 22:01:49;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;98819_moneybookerspsp_cc;8a8394883c6ce40f013ca2145def52b0;9897.6439.5282;USD;US ;2013-02-03;2013-02-03 22:01:49;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;98819_moneybookerspsp_cc;8a8394883c6ce40f013ca2145ebc52b5;4400.0858.1394;USD;US ;2013-02-03;2013-02-03 22:01:49;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;DB;CC;24527_moneybookerspsp_cc;8a83948d3c6ce23c013ca2147a0f4dd5;2303.6049.0258;USD;US ;2013-02-03;2013-02-03 22:01:56;AMEX;2;0;1600;USD;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24527_moneybookerspsp_cc;8a83948d3c6ce23c013ca2147c934de1;5052.3839.7202;USD;US ;2013-02-03;2013-02-03 22:01:57;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RG;CC;98829_moneybookerspsp_cc;8a8394843c6ce407013ca24468be4a53;2105.6337.5378;AUD;AU ;2013-02-03;2013-02-03 22:54:17;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;98829_moneybookerspsp_cc;8a8394843c6ce407013ca24469344a5e;4854.4128.2322;AUD;AU ;2013-02-03;2013-02-03 22:54:17;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;98829_moneybookerspsp_cc;8a8394843c6ce407013ca2446a2a4a63;6228.8023.5794;AUD;AU ;2013-02-03;2013-02-03 22:54:18;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;DB;CC;24530_moneybookerspsp_cc;8a8394823c6ce408013ca244a6357f18;8593.7187.2530;AUD;AU ;2013-02-03;2013-02-03 22:54:33;AMEX;2;0;19040;AUD;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24530_moneybookerspsp_cc;8a8394823c6ce408013ca244a8167f24;3096.1605.8642;AUD;AU ;2013-02-03;2013-02-03 22:54:34;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;98981_moneybookerspsp_cc;8a8394833c6ce22c013ca44580af6de3;7165.4743.2722;JPY;JP ;2013-02-04;2013-02-04 08:14:43;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RG;CC;98981_moneybookerspsp_cc;8a8394833c6ce22c013ca4457f5c6dd3;9570.6560.1298;JPY;JP ;2013-02-04;2013-02-04 08:14:43;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;98981_moneybookerspsp_cc;8a8394833c6ce22c013ca4457fe56dde;4073.0978.7410;JPY;JP ;2013-02-04;2013-02-04 08:14:43;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;DB;CC;24552_moneybookerspsp_cc;8a8394873c6ce230013ca445a8344206;8633.8162.7154;JPY;JP ;2013-02-04;2013-02-04 08:14:53;AMEX;2;0;520000;JPY;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24552_moneybookerspsp_cc;8a8394873c6ce230013ca445a9f24212;3136.2581.3266;JPY;JP ;2013-02-04;2013-02-04 08:14:54;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;18627_moneybookerspsp_cc;8a8394853c6ce22e013ca56cae810039;5691.9733.8898;USD;US ;2013-02-04;2013-02-04 13:37:08;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RF;CC;18627_moneybookerspsp_cc;8a8394853c6ce22e013ca56cacda002f;4317.5838.5426;USD;US ;2013-02-04;2013-02-04 13:37:08;AMEX;2;7200;0;USD;2;000;4;00000;;4;;;;6;;6;;2;;
